id,Data Quality,Usage
586,Unknown,Private
587,Fair,Private
588,Fair,Private
589,Fair,Private
590,Fair,Private
591,Fair,Private
592,Unknown,Private
593,Fair,Private
594,Fair,Public
595,Fair,Private
596,Fair,Private
597,Fair,Private
598,Fair,Private
599,Fair,Private
600,Unknown,Private
601,Unknown,Private
602,Fair,Private
603,Fair,Private
604,Fair,Private
605,Fair,Private
606,Fair,Private
607,Fair,Private
608,Fair,Private
609,Fair,Private
610,Fair,Private
611,Fair,Public
612,Fair,Private
613,Fair,Private
614,Good,Public
615,Fair,Public
616,Fair,Private
617,Fair,Private
618,Unknown,Public
619,Fair,Public
620,Fair,Private
621,Fair,Private
622,Unknown,Private
623,Unknown,Private
624,Fair,Private
625,Fair,Private
626,Fair,Private
627,Fair,Public
628,Unknown,Private
629,Unknown,Private
630,Fair,Public
631,Unknown,Public
632,Fair,Private
633,Fair,Private
634,Fair,Private
635,Unknown,Private
636,Fair,Private
637,Fair,Private
638,Fair,Private
639,Fair,Private
640,Unknown,Private
641,Fair,Private
642,Unknown,Private
643,Fair,Private
644,Fair,Private
645,Fair,Public
646,Fair,Private
647,Fair,Private
648,Unknown,Public
649,Fair,Private
650,Fair,Private
651,Fair,Private
652,Good,Private
653,Fair,Public
654,Unknown,Private
655,Fair,Private
656,Unknown,Private
657,Unknown,Private
658,Fair,Private
659,Fair,Private
660,Fair,Private
661,Fair,Public
662,Fair,Private
663,Fair,Private
664,Unknown,Private
665,Good,Private
666,Unknown,Private
667,Unknown,Private
668,Fair,Private
669,Fair,Private
670,Unknown,Private
671,Fair,Public
672,Good,Private
673,Fair,Private
674,Fair,Private
675,Fair,Public
676,Unknown,Private
677,Unknown,Private
678,Fair,Public
679,Fair,Public
680,Fair,Public
681,Fair,Private
682,Fair,Private
683,Fair,Private
684,Fair,Public
685,Fair,Private
686,Fair,Private
687,Fair,Private
688,Fair,Public
689,Fair,Private
690,Fair,Private
691,Fair,Private
692,Fair,Private
693,Fair,Private
694,Unknown,Private
695,Fair,Private
696,Fair,Private
697,Fair,Private
698,Unknown,Private
699,Unknown,Private
700,Fair,Private
701,Fair,Private
702,Unknown,Private
703,Fair,Private
704,Unknown,Private
705,Fair,Public
706,Fair,Private
707,Fair,Public
708,Fair,Private
709,Fair,Private
710,Unknown,Public
711,Unknown,Private
712,Fair,Private
713,Fair,Private
714,Fair,Private
715,Fair,Public
716,Fair,Public
717,Fair,Public
718,Fair,Private
719,Fair,Public
720,Good,Public
721,Fair,Private
722,Unknown,Private
723,Fair,Public
724,Good,Private
725,Unknown,Public
726,Fair,Private
727,Unknown,Public
728,Fair,Private
729,Fair,Private
730,Fair,Private
731,Fair,Public
732,Unknown,Private
733,Fair,Private
734,Fair,Private
735,Fair,Public
736,Unknown,Private
737,Fair,Public
738,Fair,Private
739,Fair,Private
740,Fair,Private
741,Unknown,Private
742,Unknown,Public
743,Fair,Private
744,Unknown,Private
745,Fair,Public
746,Fair,Private
747,Fair,Private
748,Fair,Public
749,Fair,Private
750,Fair,Private
751,Unknown,Public
752,Unknown,Private
753,Fair,Private
754,Unknown,Private
755,Unknown,Public
756,Unknown,Private
757,Unknown,Private
758,Good,Public
759,Unknown,Public
760,Fair,Private
761,Unknown,Private
762,Fair,Private
763,Fair,Public
764,Unknown,Private
765,Unknown,Private
766,Fair,Public
767,Fair,Public
768,Unknown,Private
769,Fair,Public
770,Fair,Private
771,Fair,Public
772,Fair,Private
773,Fair,Private
774,Unknown,Public
775,Unknown,Private
776,Fair,Private
777,Fair,Public
778,Fair,Public
779,Unknown,Private
780,Unknown,Private
781,Unknown,Private
782,Unknown,Private
783,Fair,Private
784,Fair,Private
785,Unknown,Public
786,Unknown,Private
787,Unknown,Private
788,Unknown,Private
789,Fair,Public
790,Fair,Private
791,Fair,Private
792,Fair,Private
793,Fair,Private
794,Unknown,Private
795,Unknown,Public
796,Fair,Public
797,Unknown,Private
798,Fair,Private
799,Fair,Public
800,Unknown,Public
801,Fair,Private
802,Unknown,Private
803,Fair,Private
804,Fair,Private
805,Fair,Public
806,Fair,Public
807,Unknown,Public
808,Fair,Private
809,Fair,Private
810,Fair,Public
811,Unknown,Public
812,Fair,Private
813,Unknown,Public
814,Fair,Public
815,Fair,Private
816,Fair,Private
817,Fair,Private
818,Unknown,Private
819,Fair,Private
820,Fair,Public
821,Fair,Private
822,Fair,Private
823,Fair,Private
824,Pending review,Private
825,Fair,Public
826,Fair,Private
827,Fair,Private
828,Fair,Public
829,Fair,Private
830,Fair,Private
831,Fair,Private
832,Fair,Private
833,Fair,Private
834,Fair,Private
835,Fair,Private
836,Unknown,Public
837,Unknown,Private
838,Fair,Private
839,Fair,Private
840,Fair,Private
841,Fair,Private
842,Unknown,Private
843,Unknown,Public
844,Fair,Private
845,Fair,Private
846,Fair,Private
847,Unknown,Public
848,Fair,Private
849,Unknown,Private
850,Fair,Private
851,Fair,Public
852,Fair,Private
853,Unknown,Public
854,Fair,Private
855,Fair,Private
856,Fair,Private
857,Fair,Private
858,Fair,Private
859,Unknown,Private
860,Fair,Public
861,Unknown,Private
862,Fair,Private
863,Fair,Private
864,Fair,Private
865,Fair,Private
866,Unknown,Private
867,Unknown,Private
868,Fair,Public
869,Fair,Public
870,Unknown,Private
871,Fair,Private
872,Fair,Private
873,Unknown,Private
874,Fair,Private
875,Fair,Private
876,Fair,Public
877,Fair,Private
878,Unknown,Private
879,Fair,Private
880,Unknown,Private
881,Unknown,Private
882,Fair,Private
883,Unknown,Private
884,Unknown,Public
885,Fair,Private
886,Unknown,Private
887,Fair,Private
888,Fair,Private
889,Fair,Private
890,Fair,Public
891,Fair,Public
892,Fair,Public
893,Fair,Private
894,Unknown,Private
895,Fair,Private
896,Fair,Private
897,Fair,Public
898,Fair,Private
899,Fair,Private
900,Fair,Private
901,Fair,Private
902,Fair,Private
903,Fair,Private
904,Fair,Private
905,Unknown,Public
906,Unknown,Public
907,Fair,Private
908,Fair,Private
909,Fair,Private
910,Fair,Private
911,Fair,Private
912,Fair,Private
913,Fair,Private
914,Fair,Private
915,Unknown,Private
916,Fair,Private
917,Fair,Public
918,Fair,Public
919,Fair,Private
920,Unknown,Public
921,Unknown,Private
922,Fair,Public
923,Unknown,Public
924,Fair,Private
925,Fair,Private
926,Fair,Private
927,Fair,Private
928,Fair,Private
929,Fair,Private
930,Fair,Private
931,Fair,Public
932,Unknown,Public
933,Unknown,Private
934,Fair,Private
935,Fair,Private
936,Fair,Private
937,Fair,Public
938,Fair,Private
939,Unknown,Private
940,Fair,Private
941,Fair,Private
942,Fair,Private
943,Fair,Public
944,Fair,Private
945,Fair,Private
946,Fair,Private
947,Fair,Public
948,Fair,Public
949,Unknown,Private
950,Fair,Private
951,Fair,Private
952,Fair,Private
953,Fair,Public
954,Fair,Private
955,Fair,Private
956,Fair,Private
957,Unknown,Private
958,Fair,Private
959,Fair,Public
960,Unknown,Private
961,Fair,Private
962,Fair,Private
963,Fair,Private
964,Unknown,Private
965,Unknown,Private
966,Fair,Public
967,Fair,Private
968,Fair,Private
969,Fair,Private
970,Fair,Private
971,Unknown,Public
972,Unknown,Public
973,Unknown,Private
974,Fair,Private
975,Fair,Private
976,Fair,Private
977,Fair,Private
978,Fair,Private
979,Fair,Private
980,Fair,Private
981,Fair,Public
982,Good,Private
983,Fair,Private
984,Fair,Public
985,Fair,Private
986,Unknown,Private
987,Fair,Private
988,Unknown,Private
989,Unknown,Public
990,Fair,Public
991,Fair,Private
992,Unknown,Private
993,Fair,Private
994,Fair,Private
995,Unknown,Private
996,Fair,Public
997,Fair,Private
998,Fair,Public
999,Fair,Private
1000,Fair,Private
1001,Fair,Private
1002,Fair,Public
1003,Fair,Public
1004,Fair,Public
1005,Fair,Private
1006,Unknown,Private
1007,Fair,Public
1008,Fair,Private
1009,Fair,Private
1010,Unknown,Private
1011,Fair,Public
1012,Fair,Public
1013,Unknown,Private
1014,Unknown,Public
1015,Fair,Public
1016,Fair,Private
1017,Unknown,Private
1018,Fair,Public
1019,Fair,Private
1020,Fair,Private
1021,Unknown,Private
1022,Fair,Public
1023,Unknown,Public
1024,Fair,Public
1025,Unknown,Private
1026,Fair,Public
1027,Fair,Public
1028,Fair,Private
1029,Unknown,Public
1030,Fair,Private
1031,Fair,Private
1032,Unknown,Private
1033,Fair,Private
1034,Fair,Private
1035,Fair,Private
1036,Unknown,Private
1037,Fair,Public
1038,Unknown,Private
1039,Fair,Private
1040,Fair,Private
1041,Fair,Public
1042,Fair,Private
1043,Fair,Private
1044,Fair,Public
1045,Fair,Private
1046,Fair,Private
1047,Fair,Private
1048,Fair,Public
1049,Fair,Private
1050,Fair,Public
1051,Fair,Private
1052,Fair,Public
1053,Fair,Public
1054,Fair,Public
1055,Fair,Private
1056,Fair,Public
1057,Fair,Private
1058,Good,Private
1059,Good,Private
1060,Unknown,Public
1061,Fair,Public
1062,Unknown,Public
1063,Fair,Private
1064,Fair,Private
1065,Fair,Public
1066,Fair,Private
1067,Fair,Private
1068,Fair,Private
1069,Fair,Private
1070,Fair,Private
1071,Fair,Private
1072,Fair,Private
1073,Fair,Private
1074,Fair,Public
1075,Fair,Private
1076,Unknown,Private
1077,Fair,Private
1078,Fair,Private
1079,Fair,Public
1080,Fair,Public
1081,Unknown,Private
1082,Unknown,Private
1083,Good,Public
1084,Unknown,Public
1085,Fair,Private
1086,Unknown,Private
1087,Unknown,Private
1088,Fair,Public
1089,Fair,Private
1090,Fair,Public
1091,Fair,Private
1092,Unknown,Private
1093,Fair,Private
1094,Fair,Private
1095,Fair,Private
1096,Fair,Private
1097,Fair,Private
1098,Fair,Public
1099,Fair,Private
1100,Fair,Private
1101,Fair,Public
1102,Unknown,Public
1103,Fair,Public
1104,Fair,Public
1105,Unknown,Private
1106,Unknown,Private
1107,Fair,Public
1108,Fair,Private
1109,Unknown,Private
1110,Fair,Public
1111,Fair,Private
1112,Fair,Private
1113,Fair,Private
1114,Unknown,Private
1115,Unknown,Private
1116,Fair,Private
1117,Fair,Public
1118,Fair,Private
1119,Fair,Private
1120,Fair,Public
1121,Fair,Public
1122,Fair,Public
1123,Fair,Public
1124,Fair,Private
1125,Fair,Private
1126,Fair,Private
1127,Unknown,Private
1128,Fair,Private
1129,Fair,Private
1130,Unknown,Public
1131,Fair,Private
1132,Unknown,Private
1133,Fair,Private
1134,Unknown,Private
1135,Fair,Private
1136,Fair,Public
1137,Fair,Private
1138,Fair,Private
1139,Unknown,Private
1140,Fair,Public
1141,Fair,Private
1142,Unknown,Private
1143,Fair,Private
1144,Fair,Private
1145,Unknown,Public
1146,Fair,Public
1147,Unknown,Private
1148,Fair,Public
1149,Fair,Public
1150,Fair,Public
1151,Unknown,Public
1152,Fair,Private
1153,Fair,Private
1154,Unknown,Private
1155,Unknown,Public
1156,Fair,Private
1157,Fair,Public
1158,Fair,Public
1159,Fair,Private
1160,Fair,Public
1161,Unknown,Private
1162,Fair,Private
1163,Fair,Public
1164,Unknown,Private
1165,Fair,Public
1166,Unknown,Public
1167,Fair,Private
1168,Fair,Private
1169,Fair,Private
1170,Fair,Private
1171,Fair,Public
1172,Fair,Private
1173,Fair,Private
1174,Fair,Private
1175,Fair,Private
1176,Good,Public
1177,Fair,Private
1178,Unknown,Public
1179,Unknown,Private
1180,Unknown,Public
1181,Fair,Private
1182,Fair,Private
1183,Fair,Public
1184,Fair,Private
1185,Fair,Public
1186,Fair,Private
1187,Fair,Private
1188,Fair,Private
1189,Fair,Public
1190,Fair,Private
1191,Fair,Private
1192,Fair,Private
1193,Fair,Private
1194,Unknown,Private
1195,Fair,Public
1196,Unknown,Public
1197,Fair,Public
1198,Fair,Public
1199,Fair,Private
1200,Fair,Public
1201,Unknown,Private
1202,Fair,Private
1203,Unknown,Private
1204,Fair,Private
1205,Fair,Public
1206,Unknown,Private
1207,Unknown,Private
1208,Fair,Private
1209,Fair,Public
1210,Fair,Private
1211,Fair,Private
1212,Unknown,Private
1213,Good,Public
1214,Fair,Private
1215,Unknown,Private
1216,Fair,Private
1217,Fair,Private
1218,Fair,Private
1219,Unknown,Private
1220,Fair,Public
1221,Fair,Private
1222,Fair,Private
1223,Fair,Public
1224,Fair,Private
1225,Unknown,Private
1226,Unknown,Private
1227,Fair,Private
1228,Fair,Public
1229,Fair,Private
1230,Unknown,Public
1231,Fair,Private
1232,Fair,Private
1233,Fair,Private
1234,Fair,Private
1235,Fair,Private
1236,Fair,Public
1237,Unknown,Private
1238,Fair,Public
1239,Fair,Private
1240,Unknown,Public
1241,Pending review,Public
1242,Unknown,Public
1243,Fair,Public
1244,Fair,Public
1245,Fair,Private
1246,Unknown,Private
1247,Unknown,Private
1248,Fair,Public
1249,Fair,Private
1250,Unknown,Public
1251,Fair,Private
1252,Fair,Private
1253,Fair,Private
1254,Fair,Private
1255,Unknown,Private
1256,Fair,Private
1257,Fair,Private
1258,Fair,Private
1259,Fair,Private
1260,Fair,Private
1261,Fair,Public
1262,Unknown,Private
1263,Unknown,Private
1264,Fair,Private
1265,Unknown,Private
1266,Fair,Private
1267,Fair,Private
1268,Unknown,Private
1269,Fair,Private
1270,Fair,Private
1271,Unknown,Public
1272,Fair,Public
1273,Fair,Private
1274,Fair,Private
1275,Fair,Private
1276,Fair,Private
1277,Unknown,Public
1278,Unknown,Private
1279,Fair,Private
1280,Fair,Private
1281,Fair,Public
1282,Fair,Private
1283,Fair,Private
1284,Fair,Private
1285,Fair,Private
1286,Unknown,Private
1287,Fair,Private
1288,Fair,Private
1289,Unknown,Private
1290,Fair,Private
1291,Fair,Private
1292,Fair,Private
1293,Fair,Private
1294,Fair,Public
1295,Fair,Private
1296,Fair,Private
1297,Fair,Private
1298,Fair,Private
1299,Fair,Public
1300,Unknown,Private
1301,Fair,Public
1302,Fair,Private
1303,Fair,Private
1304,Fair,Public
1305,Unknown,Public
1306,Fair,Public
1307,Unknown,Public
1308,Fair,Private
1309,Fair,Public
1310,Fair,Private
1311,Fair,Public
1312,Fair,Private
1313,Fair,Public
1314,Fair,Private
1315,Fair,Private
1316,Fair,Private
1317,Fair,Public
1318,Fair,Private
1319,Fair,Private
1320,Fair,Private
1321,Fair,Private
1322,Unknown,Public
1323,Fair,Private
1324,Fair,Public
1325,Fair,Private
1326,Fair,Private
1327,Fair,Public
1328,Unknown,Private
1329,Unknown,Private
1330,Fair,Private
1331,Unknown,Public
1332,Unknown,Private
1333,Fair,Public
1334,Fair,Public
1335,Fair,Private
1336,Fair,Private
1337,Fair,Private
1338,Fair,Private
1339,Fair,Private
1340,Fair,Private
1341,Fair,Private
1342,Fair,Public
1343,Unknown,Public
1344,Unknown,Public
1345,Fair,Private
1346,Fair,Private
1347,Fair,Private
1348,Fair,Public
1349,Fair,Private
1350,Fair,Public
1351,Fair,Private
1352,Unknown,Private
1353,Fair,Public
1354,Fair,Private
1355,Fair,Public
1356,Fair,Public
1357,Fair,Private
1358,Fair,Private
1359,Fair,Private
1360,Fair,Public
1361,Fair,Private
1362,Fair,Private
1363,Fair,Private
1364,Fair,Public
1365,Fair,Private
1366,Unknown,Public
1367,Fair,Public
1368,Fair,Private
1369,Unknown,Private
1370,Fair,Public
1371,Unknown,Private
1372,Fair,Public
1373,Fair,Private
1374,Fair,Private
1375,Fair,Public
1376,Fair,Private
1377,Fair,Private
1378,Fair,Private
1379,Fair,Private
1380,Fair,Private
1381,Fair,Private
1382,Fair,Public
1383,Fair,Private
1384,Fair,Private
1385,Fair,Private
1386,Fair,Public
1387,Fair,Private
1388,Fair,Public
1389,Fair,Private
1390,Fair,Private
1391,Fair,Private
1392,Fair,Private
1393,Fair,Private
1394,Fair,Private
1395,Fair,Public
1396,Fair,Private
1397,Fair,Private
1398,Unknown,Private
1399,Good,Public
1400,Fair,Private
1401,Fair,Private
1402,Fair,Private
1403,Fair,Public
1404,Unknown,Private
1405,Fair,Private
1406,Fair,Public
1407,Fair,Public
1408,Fair,Private
1409,Fair,Public
1410,Fair,Private
1411,Unknown,Private
1412,Fair,Private
1413,Unknown,Private
1414,Unknown,Private
1415,Unknown,Public
1416,Unknown,Private
1417,Fair,Private
1418,Fair,Private
1419,Fair,Public
1420,Fair,Private
1421,Fair,Private
1422,Fair,Private
1423,Unknown,Private
1424,Fair,Public
1425,Fair,Public
1426,Fair,Private
1427,Unknown,Public
1428,Fair,Private
1429,Fair,Public
1430,Fair,Private
1431,Fair,Private
1432,Fair,Private
1433,Unknown,Private
1434,Fair,Private
1435,Unknown,Private
1436,Fair,Private
1437,Fair,Public
1438,Fair,Private
1439,Fair,Private
1440,Fair,Public
1441,Fair,Private
1442,Unknown,Private
1443,Fair,Private
1444,Good,Public
1445,Fair,Private
1446,Fair,Private
1447,Unknown,Public
1448,Fair,Public
1449,Fair,Private
1450,Fair,Private
1451,Unknown,Private
1452,Fair,Public
1453,Fair,Private
1454,Fair,Private
1455,Fair,Public
1456,Fair,Private
1457,Fair,Private
1458,Fair,Private
1459,Fair,Private
1460,Unknown,Private
1461,Fair,Private
1462,Good,Private
1463,Fair,Private
1464,Fair,Public
1465,Fair,Private
