paper,referenced_paper,is_referenced
p2827,p2166,0
p3809,p3496,0
p2123,p1420,0
p4043,p0767,0
p1050,p0767,0
p0777,p2066,0
p2660,p2279,0
p2191,p3892,0
p1532,p2316,0
p1029,p0919,0
p0897,p0455,0
p0448,p1402,0
p4060,p0739,0
p2059,p2061,0
p0662,p0001,0
p2876,p1039,0
p0345,p4038,0
p0973,p3866,0
p1253,p4129,0
p3131,p3110,0
p0231,p3479,0
p3309,p2763,0
p3096,p4318,0
p2565,p1050,0
p4174,p3178,0
p2173,p1953,0
p1839,p0752,0
p1996,p3001,0
p1449,p1123,0
p1580,p1015,0
p4136,p2278,0
p2370,p3145,0
p1876,p2194,0
p1232,p3627,0
p2532,p3739,0
p2268,p0488,0
p3169,p2684,0
p1272,p1441,1
p2356,p0517,0
p3216,p1576,0
p3735,p1276,0
p3841,p4284,0
p0616,p0584,0
p3968,p2802,0
p0963,p0212,0
p1687,p0531,0
p1416,p2470,0
p2469,p1783,0
p0159,p4306,0
p3326,p0659,0
p4204,p2480,0
p3215,p4327,0
p2237,p2374,0
p3491,p4229,0
p3639,p3124,0
p1898,p3449,0
p3309,p3565,0
p2532,p2627,0
p2654,p0137,0
p2940,p2952,0
p0809,p1040,0
p3818,p2508,0
p0678,p0987,0
p3946,p2217,0
p2617,p0793,0
p3400,p2104,0
p1741,p1593,0
p3349,p0094,0
p1032,p2301,0
p2818,p0288,0
p3478,p0817,0
p1174,p1937,0
p0348,p0070,0
p3555,p1828,0
p2588,p3450,0
p3494,p4327,0
p2929,p0164,0
p2975,p3996,0
p4002,p0099,0
p3197,p1951,0
p1966,p2787,0
p2865,p1479,0
p1217,p1113,0
p2571,p3423,0
p1288,p2493,0
p2601,p3243,0
p0448,p3483,0
p1190,p2594,0
p2368,p0262,0
p1032,p3606,0
p0258,p0019,0
p3637,p2088,0
p0661,p1215,0
p0826,p3769,0
p4266,p3715,0
p1232,p3160,0
p1860,p1199,0
p2135,p0517,0
p2370,p0916,0
p4026,p4250,0
p1391,p1370,0
p1689,p0217,0
p3122,p2675,0
p2071,p1598,0
p2926,p3217,0
p0643,p1672,0
p2876,p4178,0
p0270,p2332,0
p1652,p0356,0
p1416,p0693,0
p0613,p0369,0
p3584,p3559,0
p3916,p2020,0
p3154,p0591,0
p3689,p3816,0
p3309,p1731,0
p1288,p0268,0
p2469,p2979,0
p0449,p3614,0
p2915,p0281,0
p2940,p0234,0
p3586,p0914,0
p1199,p1076,0
p2353,p3136,0
p0628,p4310,0
p2255,p1094,0
p4338,p4301,0
p3413,p2180,0
p4043,p2671,0
p3131,p2153,0
p3494,p2643,0
p0619,p0890,0
p0387,p0673,0
p2380,p1749,0
p2173,p0585,0
p1044,p3431,0
p2587,p0461,0
p2673,p1243,0
p1062,p0710,0
p0943,p4086,0
p0725,p3236,0
p4168,p2613,0
p0943,p3542,0
p0244,p2315,0
p0487,p2478,0
p4000,p3382,0
p0082,p0100,0
p3442,p1636,0
p4060,p4151,0
p1894,p3386,0
p4041,p2417,0
p3092,p3023,0
p1375,p2922,0
p1451,p4084,1
p3148,p3287,0
p3894,p0177,0
p2383,p2265,0
p0080,p3450,0
p2143,p0362,0
p0777,p1260,0
p0038,p2544,0
p1627,p1821,0
p4175,p3791,0
p3590,p0096,0
p0077,p0410,0
p0757,p0865,0
p2362,p2872,0
p3689,p3208,0
p0296,p2019,0
p3583,p3601,0
p3002,p0800,0
p3678,p3342,0
p1086,p3632,0
p3413,p4055,0
p2322,p0807,0
p3073,p2250,0
p3672,p2446,0
p1614,p4332,0
p2996,p1766,0
p2245,p3704,0
p0998,p0174,0
p3243,p0845,0
p3640,p2093,0
p3940,p0226,0
p2356,p0196,0
p3767,p2114,0
p3376,p1967,0
p1948,p0460,0
p3268,p3913,0
p2245,p2968,0
p1197,p1629,0
p1810,p3396,0
p2373,p3820,0
p2131,p0331,0
p2523,p3633,0
p3451,p2575,0
p1671,p0871,0
p0810,p3934,0
p0521,p0300,0
p1468,p2882,0
p1924,p1043,0
p1449,p3434,0
p1614,p1099,0
p2491,p2541,0
p0334,p3277,0
p0973,p0584,0
p2939,p0946,0
p3813,p3034,0
p0181,p1672,0
p0947,p3717,0
p2087,p1666,0
p0077,p1467,0
p4322,p2673,0
p2370,p2813,0
p3067,p3870,0
p1199,p1657,0
p4025,p0094,0
p4285,p4146,0
p0709,p2105,0
p3111,p1289,0
p2601,p0240,0
p2091,p0557,0
p2126,p0787,0
p0717,p3770,0
p1367,p0438,0
p1935,p2621,0
p0282,p3513,0
p3880,p4242,0
p0760,p3085,0
p3148,p4115,0
p2990,p1278,0
p3531,p1475,0
p0498,p2470,0
p2673,p4066,0
p1996,p4301,0
p3705,p3927,0
p0057,p0774,0
p4093,p3792,0
p0722,p3881,0
p0193,p1137,0
p3067,p2003,0
p1702,p3832,0
p0181,p1815,0
p1338,p1665,0
p0987,p0915,0
p0350,p4223,0
p4002,p0115,0
p4108,p2316,0
p0980,p1594,0
p3427,p0883,0
p3064,p1842,0
p2836,p1871,0
p0725,p0589,0
p3805,p2320,0
p3256,p1052,0
p2237,p1843,0
p0888,p3874,0
p1245,p3532,0
p1945,p3394,0
p0571,p2416,0
p4338,p0243,0
p0176,p3909,0
p3645,p3684,0
p3555,p0291,0
p3080,p0369,0
p2087,p0733,0
p4043,p3714,0
p0626,p3954,0
p2143,p3625,0
p3809,p3848,0
p0612,p2831,0
p3695,p3748,0
p4026,p1850,0
p3282,p2375,0
p4266,p1075,0
p1255,p1632,0
p0826,p0488,0
p0998,p4199,0
p2929,p1821,0
p0755,p3440,0
p4322,p0245,0
p4136,p1736,0
p2523,p1106,0
p0534,p0454,0
p2397,p0764,1
p3494,p3404,0
p0247,p1637,0
p0647,p2731,0
p1241,p3686,0
p1058,p2285,0
p0494,p2631,0
p3328,p1749,0
p1734,p3146,0
p2412,p3508,0
p1531,p3463,0
p2617,p0179,0
p0782,p2007,0
p3463,p0713,0
p3448,p4086,0
p0942,p2775,0
p0549,p0995,0
p3129,p3938,0
p3089,p0199,0
p2304,p2170,0
p2340,p1979,0
p2901,p3136,0
p1995,p1681,0
p4333,p2285,0
p2373,p2029,0
p2344,p1912,0
p0427,p0129,0
p3427,p1793,0
p2879,p3347,0
p2159,p2793,0
p4168,p1604,0
p4280,p1077,0
p2173,p1058,0
p1246,p4008,0
p2830,p1815,0
p3955,p0840,0
p2557,p1953,0
p2591,p3252,0
p3072,p2830,0
p4285,p1509,0
p2488,p3792,0
p1206,p0605,0
p2236,p2562,0
p3058,p1474,1
p0113,p3452,0
p1860,p0644,0
p4088,p0455,0
p4174,p2499,0
p2836,p3980,0
p3287,p3219,0
p0451,p1228,0
p3584,p3076,0
p4186,p0002,0
p1689,p4307,0
p1995,p2778,0
p1894,p4248,0
p0666,p0070,0
p0203,p0676,0
p0510,p0937,0
p2491,p3069,0
p0258,p4116,0
p1423,p2900,0
p0776,p3901,0
p4093,p1631,0
p2412,p0421,0
p1193,p2642,0
p0253,p2738,0
p1062,p1853,0
p0929,p2758,0
p2790,p1577,0
p3002,p3937,0
p3374,p3876,0
p4333,p3970,0
p3427,p0478,0
p1151,p2555,0
p1879,p0842,0
p3123,p2963,0
p3120,p1854,0
p4122,p1656,0
p2087,p0881,0
p0296,p0931,0
p1839,p0722,0
p1952,p0601,0
p1805,p1370,0
p0309,p2946,0
p0203,p4097,0
p1970,p0296,0
p1757,p1467,0
p2645,p4051,0
p4343,p3659,0
p3560,p4151,0
p3201,p3469,0
p0521,p0928,0
p0510,p2804,0
p3200,p3690,0
p1531,p3625,0
p3639,p3683,0
p1671,p2942,0
p1832,p3616,0
p0670,p0066,0
p3509,p2371,0
p2707,p0468,0
p2557,p4216,0
p0334,p3495,0
p0453,p2978,0
p1532,p1151,0
p0498,p1494,0
p4060,p2289,0
p2380,p4101,0
p4208,p0474,0
p0392,p4125,0
p1232,p4240,0
p3427,p4029,0
p1487,p1359,0
p0701,p1376,0
p2865,p0212,0
p2491,p2850,0
p0437,p4136,0
p3282,p2285,0
p3169,p3318,0
p0231,p0808,0
p1486,p2594,0
p1338,p0816,0
p3362,p3045,0
p2948,p0919,0
p4181,p2334,0
p0521,p1350,0
p3705,p1680,0
p1306,p1705,0
p1385,p0767,0
p0770,p3661,0
p4213,p3919,0
p0987,p0187,0
p3636,p2708,0
p0050,p0679,1
p2032,p2038,0
p1236,p0807,0
p1121,p3534,0
p3080,p1208,0
p0382,p1881,0
p1960,p1855,0
p3296,p1854,0
p0247,p1448,0
p1970,p0191,0
p3603,p3751,0
p0309,p3031,0
p2483,p1518,0
p4266,p3297,0
p0175,p2713,0
p3515,p3520,0
p0674,p2943,0
p2748,p3161,0
p3159,p2999,0
p2173,p1840,0
p2990,p2977,0
p3821,p2096,0
p3125,p1781,0
p3293,p2608,0
p3451,p2048,0
p2233,p3241,0
p2803,p3369,0
p0453,p2466,0
p3883,p2851,0
p0113,p2672,0
p1275,p1880,0
p0221,p2813,0
p2681,p4080,0
p3609,p1124,0
p0253,p0923,0
p3123,p1472,0
p2159,p3601,0
p4186,p3711,0
p2729,p0493,0
p1764,p1328,0
p0679,p0218,0
p1399,p1893,0
p2803,p1680,0
p1170,p3614,0
p0648,p3167,0
p3636,p2738,0
p3021,p2811,0
p2412,p0124,0
p2065,p3457,0
p0315,p1618,0
p2304,p4306,0
p1937,p0939,0
p3707,p0833,0
p3080,p4287,0
p0571,p0954,0
p2419,p3662,0
p0779,p2146,0
p1966,p3074,0
p2818,p0397,0
p3494,p0447,0
p3974,p0054,0
p0878,p2911,0
p3400,p2003,0
p4181,p1448,0
p3309,p2133,0
p2940,p1123,0
p1146,p3452,0
p1468,p4117,0
p0448,p0939,0
p2071,p3750,0
p2065,p0633,0
p1988,p0911,0
p3375,p1943,0
p3883,p0376,0
p3016,p0750,0
p3067,p3206,0
p3058,p2470,0
p2542,p1447,0
p4285,p1842,0
p0159,p1302,0
p1221,p1144,0
p2351,p2186,0
p3348,p3010,0
p0779,p4286,0
p2319,p4040,0
p1568,p3500,0
p0946,p3964,0
p1391,p3243,0
p0088,p2381,0
p3348,p0733,0
p3637,p1301,0
p2494,p3912,0
p1580,p3203,0
p0389,p3211,0
p0755,p0615,0
p3328,p1268,1
p2373,p3495,0
p4225,p3671,0
p1935,p0052,0
p1777,p1228,0
p2591,p4115,0
p4060,p3912,0
p0987,p1930,0
p1121,p3070,0
p1181,p0739,0
p1110,p4287,0
p3705,p3307,0
p1650,p3962,0
p1810,p1922,0
p0864,p4336,0
p0472,p2280,0
p2723,p0662,0
p1151,p3263,0
p2256,p2773,0
p0617,p4291,0
p2475,p2434,0
p3159,p2207,0
p2568,p1771,0
p1744,p2049,0
p4054,p2682,0
p3753,p3091,0
p2071,p1933,0
p1597,p2719,0
p1894,p0168,0
p3268,p0439,0
p4213,p1686,0
p4093,p2140,0
p3103,p0586,0
p0944,p3918,0
p0449,p0256,0
p2836,p2239,0
p3955,p1040,0
p3088,p2206,0
p3413,p2887,0
p1221,p0524,0
p3658,p2164,0
p3940,p1348,0
p1839,p3639,0
p2836,p3665,0
p0159,p1735,0
p3465,p1464,0
p1060,p1420,0
p2340,p1242,0
p3731,p0130,0
p1860,p1619,0
p1948,p1276,0
p3920,p3960,0
p1922,p0319,0
p0348,p0234,0
p2617,p0202,0
p2219,p0644,0
p3018,p0050,0
p0043,p1604,0
p0626,p0228,0
p0670,p4240,0
p3378,p0172,0
p0770,p4040,0
p0077,p3410,1
p0755,p3857,0
p1468,p1141,0
p0057,p1250,0
p2587,p3580,0
p1792,p0608,0
p3178,p1617,0
p3339,p3480,0
p0701,p4268,0
p4163,p4160,0
p3627,p3978,0
p0190,p2491,0
p1557,p1105,0
p1948,p3462,0
p2017,p0374,0
p3696,p2661,0
p2784,p0102,0
p3698,p2701,0
p2929,p2281,0
p0973,p0716,0
p0076,p3155,0
p2523,p2727,0
p3362,p1639,0
p3092,p3702,0
p2681,p1147,0
p2276,p3692,0
p0674,p1517,0
p1492,p0212,0
p2875,p0966,0
p3015,p2985,0
p4161,p2614,0
p0993,p0441,0
p2568,p3077,0
p3374,p2175,1
p2501,p1456,0
p3144,p0828,0
p1557,p0079,0
p2836,p0896,0
p1650,p3076,0
p0701,p1350,0
p0327,p0852,0
p1860,p3265,0
p1399,p0443,0
p0494,p1316,0
p1253,p0411,0
p1385,p4292,0
p3088,p4093,0
p0810,p1551,0
p2830,p3940,0
p1221,p2392,0
p0619,p3499,0
p3268,p4182,0
p0427,p0859,0
p1764,p4315,0
p1515,p3964,0
p0348,p0791,0
p0888,p1022,0
p1199,p1162,0
p1146,p3770,0
p0649,p1033,0
p2557,p2401,0
p4140,p2794,0
p1246,p2661,0
p3002,p3438,0
p0281,p1185,0
p4266,p0562,0
p0270,p2247,0
p0690,p0662,0
p3467,p2702,0
p3581,p2201,0
p1789,p3945,0
p4322,p0956,0
p3813,p2616,0
p2011,p0917,0
p0726,p3307,0
p3753,p1375,0
p1966,p2421,0
p4181,p1584,0
p1446,p4160,0
p0529,p2805,0
p1449,p4044,0
p3169,p1207,0
p1058,p0194,0
p2654,p3209,0
p3494,p3060,0
p2011,p0518,0
p3463,p3938,0
p2412,p2561,0
p1826,p3316,0
p3672,p2808,0
p3767,p3034,0
p3882,p3018,0
p1058,p0834,0
p2681,p2028,0
p3148,p0041,0
p3144,p2928,0
p3177,p3199,0
p1750,p1594,0
p0826,p1668,0
p1446,p3859,0
p2560,p0930,0
p4343,p2025,0
p2353,p4148,0
p2948,p3565,0
p0360,p3532,0
p0076,p2150,0
p0462,p0857,0
p3767,p1586,0
p3159,p2066,0
p3454,p1049,0
p2384,p3795,0
p2100,p2485,0
p1241,p1947,0
p2322,p4265,0
p0779,p0001,0
p2853,p1849,0
p0082,p3366,0
p3293,p0618,0
p0597,p2139,0
p2409,p0311,0
p3636,p1197,0
p1667,p1871,0
p0993,p3142,0
p0494,p3862,0
p1925,p1390,0
p4166,p4106,0
p3689,p3473,0
p3656,p4242,0
p1894,p1808,0
p1199,p1764,0
p2340,p2823,0
p2677,p0121,0
p4161,p3682,0
p3293,p3555,0
p2008,p2970,0
p3378,p2279,0
p2879,p3776,0
p0139,p1629,0
p1126,p1884,0
p0319,p3425,0
p3640,p4337,0
p1212,p0211,0
p1805,p3463,0
p1729,p4069,0
p3378,p1102,1
p2848,p2024,0
p1245,p2584,0
p3002,p2360,0
p2167,p0744,0
p4193,p2359,0
p3339,p0601,0
p3111,p0841,0
p4322,p2640,0
p2397,p1777,0
p4013,p2089,0
p2214,p0396,0
p0031,p4095,0
p1253,p1925,0
p1750,p3253,0
p1744,p3884,0
p1303,p3736,0
p0661,p1881,0
p1810,p1238,0
p3454,p1825,0
p1576,p1634,0
p1451,p1552,0
p0345,p1863,0
p3427,p2543,0
p1878,p1437,0
p2790,p3340,0
p2304,p2411,0
p1199,p3528,0
p0666,p0242,0
p3328,p0346,0
p2707,p0292,0
p1876,p3239,0
p3705,p1220,0
p2971,p4028,0
p2340,p0158,0
p0725,p0065,0
p0725,p3002,0
p1367,p2773,0
p0733,p0424,0
p3268,p2922,0
p0943,p0276,0
p3583,p1615,0
p0267,p2098,0
p1689,p0244,0
p4166,p0720,0
p3478,p3353,0
p3073,p1595,0
p2412,p0192,0
p0963,p4265,0
p1970,p2908,0
p3689,p0073,0
p0011,p4253,0
p0244,p2738,0
p1677,p1053,0
p2971,p1244,0
p2475,p2999,0
p2971,p0120,1
p4161,p1958,0
p1653,p0887,0
p1487,p1228,0
p0613,p1418,0
p1777,p3221,0
p3197,p1698,0
p3442,p0112,0
p3205,p3395,0
p0662,p0370,0
p2263,p0087,0
p3320,p4238,0
p1189,p3575,0
p4000,p3456,0
p2816,p4082,0
p3123,p0530,0
p3707,p3973,0
p1898,p1088,0
p0360,p1933,0
p0632,p0473,0
p4333,p1841,0
p4208,p2719,0
p4136,p1549,0
p2013,p0001,0
p2340,p1348,0
p4217,p1503,0
p2975,p2195,0
p0348,p2124,0
p3742,p3091,0
p4275,p2772,0
p2113,p3673,0
p4168,p0693,0
p2008,p1141,0
p1213,p3005,0
p3073,p1433,0
p0647,p3702,1
p1060,p2504,0
p0709,p1273,0
p0646,p1605,0
p2464,p3485,0
p3939,p0918,0
p2469,p3743,0
p0384,p3425,0
p2716,p0839,0
p2008,p3598,0
p3478,p4061,0
p1596,p3280,0
p0755,p2947,0
p1729,p4235,0
p0973,p0673,0
p4118,p3760,0
p0775,p1547,0
p3277,p3065,0
p0701,p2267,0
p3946,p3749,0
p0077,p2796,0
p3678,p2653,0
p0384,p1569,0
p2361,p3469,0
p1878,p0127,0
p2084,p2151,0
p4136,p1364,0
p1169,p2216,0
p2979,p0559,0
p3004,p0587,0
p3583,p1208,0
p1240,p1153,0
p0944,p0592,0
p2664,p1039,0
p1449,p3562,0
p2015,p2821,0
p1935,p1823,0
p0003,p1507,0
p0427,p2737,0
p3088,p2400,0
p3256,p2962,0
p4266,p3684,0
p3058,p4230,0
p2687,p1448,0
p0335,p0941,0
p0309,p4310,0
p0334,p0871,0
p1561,p3573,0
p0485,p0592,0
p2086,p1821,0
p0888,p0737,0
p0175,p0454,0
p0384,p0016,0
p3454,p0868,1
p3216,p1566,0
p2654,p0541,0
p0617,p0908,0
p1486,p3227,0
p3696,p2558,0
p4054,p0122,0
p0229,p2943,0
p1367,p3226,0
p0127,p0909,0
p1750,p1593,0
p1338,p1158,0
p3144,p3752,0
